Activity ID	Parameter	Process	Sub-Process	Activity	Standard / Expected Result	Trigger	Frequency	Due Rule	Doer	Checker	Accountable Owner	Priority	Evidence Type	Evidence Required	Dependency / Gate	Automation Rule	Failure Definition	Escalation L1	Escalation L2	Escalation L3	KPI	CAPA Requirement	Provenance	Status	Frozen Matrix Check
HK-011	Cleanliness & Housekeeping	Housekeeping	Washrooms	Toilet paper/tissue	Available	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping		Clinic Manager	IMPORTANT	CONFIRMATION	Status		Auto-create follow-on task: Refill task	Refill task	Housekeeping	Clinic Manager	Clinic Head	Washroom Compliance %	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	INV-001 — covers clinical consumables, not washroom supplies
HK-012	Cleanliness & Housekeeping	Housekeeping	Staff areas	Staff dining area	Clean	TIME	DAILY	Closing	Staff/HK		Clinic Manager	ROUTINE	CONFIRMATION	Checklist			Exception	Staff/HK	Clinic Manager	Clinic Head	Housekeeping Compliance %	NONE	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
HK-013	Cleanliness & Housekeeping	Housekeeping	DECISION_REQUIRED	Reception	Clean/organized	TIME	DAILY	Opening	HK/Reception		Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Exception	HK/Reception	Clinic Manager	Clinic Head	DECISION_REQUIRED	REQUIRED_ON_REPEAT	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	OPN-003 — reception systems readiness, not reception cleanliness
HK-014	Cleanliness & Housekeeping	Housekeeping	DECISION_REQUIRED	Plants	Watered according to schedule	TIME	DECISION_REQUIRED	DECISION_REQUIRED	HK		Clinic Manager	ROUTINE	CONFIRMATION	Completion			Reminder	HK	Clinic Manager	Clinic Head	DECISION_REQUIRED	NONE	DERIVED from Operation_App.xlsx sheet C + escalation CONFIRMED by owner 2026-08-06 ("missed rounds should reach Rahul"; Rahul is the Clinic Manager, recorded as the job)	PROPOSED	NONE_FOUND
RCR-001	Room & Chair Readiness	Room Readiness	Consumables	Consumables ready for the day	Gloves, gauze, tissues, RVG sleeves and procedure consumables available	TIME	DAILY	Opening	Assistant		Clinic Manager	CRITICAL	CONFIRMATION	Stock check	Room readiness		Consumables ready for the day not confirmed before the dependent step	Assistant	Clinic Manager	Clinic Head	Consumable availability %	REQUIRED_ON_REPEAT	OVERLAPS INV-001 in v2.0 — cross-reference or move	WITHDRAWN_DUPLICATE	INV-001 Daily critical consumable check — same control
RCR-002	Room & Chair Readiness	Room Readiness	Instruments	Procedure instruments available	Procedure-specific instruments present and sterile before the procedure	DEPENDENCY	PER_PROCEDURE	Before procedure	Assistant	Senior Assistant	Clinic Manager	PATIENT_SAFETY	VERIFICATION	Checklist	Sterile stock + procedure plan		Procedure instruments available not confirmed before the dependent step	Assistant	Clinic Manager	Clinic Head	Procedure readiness %	REQUIRED_ON_CRITICAL	OVERLAPS CLN-005 in v2.0 — cross-reference or move	WITHDRAWN_DUPLICATE	CLN-005 Chairside setup — same control
RCR-003	Room & Chair Readiness	Room Readiness	Equipment	Chair and equipment operational	Chair, suction and attached equipment functional before patient seating	TIME	DAILY	Opening	Assistant		Clinic Manager	PATIENT_SAFETY	CONFIRMATION	Functional check	Asset active		Chair and equipment operational not confirmed before the dependent step	Assistant	Clinic Manager	Clinic Head	Chair uptime %	REQUIRED_ON_CRITICAL	DERIVED from matrix Sheet1 parameter 6; FAIL must mark the chair unavailable for allocation	WITHDRAWN_DUPLICATE	EQP-001 Daily functional check — same control
RCR-004	Room & Chair Readiness	Room Readiness	Turnaround	Reset chair after every patient	Chair reset and surfaces disinfected before the next patient is seated	EVENT	PER_PATIENT	At patient checkout	Assistant		Clinic Manager	PATIENT_SAFETY	CONFIRMATION	Timestamp	Patient checkout		Reset chair after every patient not confirmed before the dependent step	Assistant	Clinic Manager	Clinic Head	Turnaround time	REQUIRED_ON_CRITICAL	DERIVED from matrix Sheet1 parameter 6; overlaps HK-002	PROPOSED	NONE_FOUND — the frozen matrix has opening readiness, not a between-patient reset
MNT-001	Facilities & Maintenance	Maintenance	Building fabric	Periodic fittings check	Doors, handles, washbasins, faucets, bathroom fittings checked and working	TIME	WEEKLY	DECISION_REQUIRED	Housekeeping	Clinic Manager	Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Fitting faulty or leaking	Housekeeping	Clinic Manager	Clinic Head	Fittings Working %	NOT_REQUIRED	"OWNER: 'chairs, doors, handles, washbasins, faucets, bathrooms ... checked periodically'. Frequency DERIVED as WEEKLY from ""periodically""; due rule left open."	PROPOSED	EQP-001 — covers critical assets, not building fabric
MNT-002	Facilities & Maintenance	Maintenance	Electrical	Electrical fittings check	Switches, extension boards and visible wiring checked for damage or heat	TIME	WEEKLY	DECISION_REQUIRED	Housekeeping	Clinic Manager	Clinic Head	CRITICAL	CONFIRMATION	Checklist			Damaged switch, board or wiring found	Clinic Manager	Clinic Head	Owner	Electrical Safety Checks %	REQUIRED_ON_REPEAT	OWNER: 'electrical switches, extension boards'. Priority DERIVED as CRITICAL — an electrical fault in a clinic is a fire and shock risk, not an inconvenience.	PROPOSED	EQP-001 — covers critical assets, not electrical fittings and wiring
MNT-003	Facilities & Maintenance	Maintenance	Building fabric	Clinic furniture check	Clinic furniture stable, undamaged and safe to use	TIME	MONTHLY	DECISION_REQUIRED	Housekeeping	Clinic Manager	Clinic Manager	ROUTINE	CONFIRMATION	Checklist			Furniture unsafe or damaged	Housekeeping	Clinic Manager	Clinic Head	Furniture Condition %	NOT_REQUIRED	OWNER: 'clinic furniture should be checked periodically'.	PROPOSED	NONE_FOUND
MNT-004	Facilities & Maintenance	Maintenance	Reporting	Report a repair need	Plumbing, electrical or repair need reported the moment it is found	EVENT	PER_EVENT	Immediately on discovery	Any staff	Clinic Manager	Clinic Manager	IMPORTANT	CONFIRMATION	Report			Fault found and not reported	Clinic Manager	Clinic Head	Owner	Repairs Reported Same Day %	NOT_REQUIRED	OWNER: 'Report plumbing, electrical, or repair requirements immediately'. This is the one that already works in the app — Report a problem.	WITHDRAWN_DUPLICATE	EQP-005 Breakdown reporting — same control
UTL-001	Facilities & Maintenance	Utilities	Water	Water pump and tank monitoring	Pump switched off once the tank is full; no overflow and no dry run	TIME	DAILY	DECISION_REQUIRED	Housekeeping	Clinic Manager	Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Pump left running or tank allowed to empty	Housekeeping	Clinic Manager	Clinic Head	Pump Supervision %	NOT_REQUIRED	OWNER: 'Monitor the water pump and switch it off once the water tank is full'. CLS-005 covers the closing check only; this is the daytime watch.	WITHDRAWN_DUPLICATE	CLS-005 Water pump/tank check — same control
UTL-002	Facilities & Maintenance	Utilities	Energy	Unoccupied-room energy check	Lights, fans, AC and equipment off in rooms not in use	TIME	TWO_HOURLY	DECISION_REQUIRED	Housekeeping	Clinic Manager	Clinic Manager	ROUTINE	CONFIRMATION	Checklist			Energy left running in an empty room	Housekeeping	Clinic Manager	Clinic Head	Energy Waste Incidents	NOT_REQUIRED	OWNER: 'switched off when rooms are unoccupied' and 'Turn off unnecessary lights, fans and equipment'. NOTE: KuBi cannot sense occupancy. This is a timed round, which is a reminder rather than a control, and is recorded as such.	WITHDRAWN_DUPLICATE	CLS-004 Utilities shutdown and OPN-004 Environment readiness — same control
IC-001	Infection Control	Infection Control	Waterlines	Dental unit waterline flush	Waterlines flushed to protocol at opening and at closing	TIME	DAILY	Opening and closing	Dental Assistant	Senior Assistant	Clinic Head	CRITICAL	CONFIRMATION	Checklist			Waterlines not flushed	Senior Assistant	Clinic Manager	Clinic Head	DUWL Compliance %	REQUIRED_ON_REPEAT	OWNER daily standard DOS-06 and DOS-36. A named NABH infection-control item absent from matrix v2.0.	PROPOSED	NONE_FOUND
IC-002	Infection Control	Infection Control	Suction	Suction line cleaning	Suction lines cleaned daily after the last patient	TIME	DAILY	After the last patient	Dental Assistant	Senior Assistant	Clinic Head	IMPORTANT	CONFIRMATION	Checklist			Suction lines not cleaned	Senior Assistant	Clinic Manager	Clinic Head	Suction Hygiene %	NOT_REQUIRED	OWNER daily standard DOS-35. Absent from matrix v2.0.	PROPOSED	NONE_FOUND
IC-003	Infection Control	Infection Control	Waste	General waste round	General waste bins emptied and relined; segregation from biomedical intact	TIME	DAILY	Opening and closing	Housekeeping	Clinic Manager	Clinic Manager	IMPORTANT	CONFIRMATION	Checklist			Bin overflowing or waste streams mixed	Housekeeping	Clinic Manager	Clinic Head	Waste Segregation %	REQUIRED_ON_REPEAT	OWNER daily standard DOS-04. STER-007 governs biomedical waste only.	PROPOSED	STER-007 — biomedical waste only; general waste is not covered
OPN-006	Opening Readiness	Opening	Team	Morning huddle	Team huddle held and the day set, within 10 minutes	TIME	DAILY	DECISION_REQUIRED	Clinic Manager	Clinic Head	Clinic Head	IMPORTANT	CONFIRMATION	Attendance			Huddle not held	Clinic Manager	Clinic Head	Owner	Huddle Held %	NOT_REQUIRED	OWNER daily standard DOS-14. The one place the day is set verbally, and absent from matrix v2.0. Numbered OPN-006 as the next free id in an existing frozen family.	PROPOSED	OPN-001, OPN-002, OPN-003, OPN-004, OPN-005 — no huddle among them
STR-001	Infection Control	Sterilization	Storage	UV chamber holding	Released instruments held in the UV chamber per protocol before storage	DEPENDENCY	PER_EVENT	After autoclave release, before storage	Sterilization Technician	Senior Assistant	Clinic Head	PATIENT_SAFETY	CONFIRMATION	Cycle log			Instruments stored without the UV step	Sterilization Technician	Clinic Manager	Clinic Head	DECISION_REQUIRED	REQUIRED_ON_CRITICAL	AMENDS the sterilisation SOP per SG-3.2. The SOP runs dirty to ultrasonic to packing to autoclave to release with no UV step; either the SOP is incomplete or this line adds a step.	PROPOSED	STER-001 to STER-007 — the chain has no UV step
STR-003	Infection Control	Infection Control	PPE	Glove use by the treating doctor	The treating doctor wears gloves for every examination and treatment	DEPENDENCY	PER_PATIENT	Before the patient is touched	Treating Doctor	Dental Assistant	Clinic Head	PATIENT_SAFETY	CONFIRMATION	Confirmation			Examination or treatment without gloves (EXC-062)	Treating Doctor	Clinic Head	Owner	PPE Compliance %	REQUIRED_ON_CRITICAL	AMENDS PJ-BEFORE_PROCEDURE-1 per SG-3.6. PPE verification exists; this binds the doctor as well as the assistant, which is what the owner wrote.	PROPOSED	CLN-005, STER-001 to STER-007 — no PPE control by role
PAT-001	Clinical Documentation	Patient Care	Imaging	Pre- and post-treatment scan	A pre-treatment and a post-treatment scan recorded for every patient	DEPENDENCY	PER_PATIENT	Before treatment starts and before the patient leaves	Dental Assistant	Treating Doctor	Clinic Head	IMPORTANT	VERIFICATION	Scan attached to the record			Treatment closed with either scan missing	Dental Assistant	Treating Doctor	Clinic Head	Scan Documentation %	REQUIRED_ON_REPEAT	AMENDS PJ-SEATED-8 and PJ-AFTER_PROCEDURE-3 per SG-4.3. Both currently read "if applicable"; this makes them unconditional and says scan rather than photograph. A real cost increase, stated as one.	PROPOSED	CLN-003 and CLN-009 — both exist and both say "required"; this removes the condition
PAT-006	Patient Retention	Patient Care	Follow-up	Dormant patient follow-up	Patients who attended but did not start treatment, or stopped attending, are followed up by a doctor	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Treating Doctor	Clinic Manager	Clinic Head	IMPORTANT	CONFIRMATION	Call logged			DECISION_REQUIRED	Treating Doctor	Clinic Manager	Clinic Head	Treatment Conversion %	NOT_REQUIRED	NEW from SG-T.4. CND-044 and CND-045 chase an unaccepted estimate. A patient who attended and never started, or stopped returning, is a different population and nothing identifies it. Failure Definition open because "not coming back" needs a number of days.	PROPOSED	FUP-004 follows treatment in progress; APT-006 handles no-shows; neither finds a patient who attended and never started
LABS-001	Laboratory & Prosthetics	Laboratory	Case handling	Lab case storage and organisation	Every lab case and material is in its labelled place and can be found	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Lab Coordinator		Clinic Manager	ROUTINE	CONFIRMATION	Checklist			A case cannot be found when needed	Lab Coordinator	Clinic Manager	Clinic Head	DECISION_REQUIRED	NOT_REQUIRED	NEW from SG-6.3. The libraries track where a case is in its lifecycle, never where it physically is.	PROPOSED	LAB-001 to LAB-007 — lifecycle only, never physical location
REC-001	Workflow & Coordination	Reception	Cover	Reception support when free	Clinical staff with no patient assist reception with appointments, calls and coordination	EVENT	PER_EVENT	DECISION_REQUIRED	Dental Assistant	Clinic Manager	Clinic Manager	ROUTINE	CONFIRMATION	Confirmation			DECISION_REQUIRED	Dental Assistant	Clinic Manager	Clinic Head	DECISION_REQUIRED	NONE	NEW from SG-8.1 and SG-8.2. Recorded honestly as weak: KuBi can see that a staff member has no patient, but "assisted reception" has no event to record. It may be better as a rule people follow than a control KuBi tracks.	PROPOSED	NONE_FOUND
REC-002	Asset Control	Administration	Clinic property	Clinic property removal authorisation	No clinic property or material leaves the premises without recorded authorisation	EVENT	PER_EVENT	Before it leaves	All staff	Clinic Manager	Clinic Manager	IMPORTANT	VERIFICATION	Authorisation record			An item is missing with no authorisation on record	Clinic Manager	Clinic Head	Owner	DECISION_REQUIRED	REQUIRED_ON_REPEAT	NEW from SG-8.4. Needs an asset register, which KuBi does not have. Without one this control can record an authorisation but can never notice an absence.	PROPOSED	NONE_FOUND
COORD-001	Workflow & Coordination	Operations	Breaks	Lunch roster	Lunch taken to a fixed schedule with patient cover maintained throughout	TIME	DAILY	DECISION_REQUIRED	Clinic Manager		Clinic Manager	IMPORTANT	CONFIRMATION	Roster			A sitting leaves no cover for patients in the chair	Clinic Manager	Clinic Head	Owner	DECISION_REQUIRED	NOT_REQUIRED	NEW from SG-10.2 and SG-10.3. The daily standard has a LUNCH rhythm; no roster exists, so "uninterrupted care" cannot be checked. Due Rule open until the owner states the sittings and who is in each.	PROPOSED	NONE_FOUND
COORD-002	Workflow & Coordination	Operations	Coordination	Coordination check through the day	DECISION_REQUIRED	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Clinic Manager		Clinic Manager	ROUTINE	CONFIRMATION	Confirmation			DECISION_REQUIRED	Clinic Manager	Clinic Head	Owner	DECISION_REQUIRED	NONE	PARTIAL from SG-10.4. DOS-14 and OPN-006 give one coordination point at the start of the day. The owner asks for it "throughout the day" — what that means in practice is entirely undecided, which is why almost every column here is open.	PROPOSED	AUD-001 and AUD-002 — periodic reviews, not through-the-day coordination
MNT-005	Maintenance	Facilities	Storage	Storage and filing systems check	File boxes, cabinets and storage systems intact, closing and properly maintained	TIME	DECISION_REQUIRED	DECISION_REQUIRED	Housekeeping	Clinic Manager	Clinic Manager	ROUTINE	CONFIRMATION	Checklist			Damaged or non-closing storage found	Housekeeping	Clinic Manager	Clinic Head	DECISION_REQUIRED	NOT_REQUIRED	NEW from SG-11.2. MNT-003 covers clinic furniture; file boxes, cabinets and storage systems are named here for the first time.	PROPOSED	EQP-001 — assets, not filing and storage furniture
