Activity ID	Parameter	Process	Sub-Process	Activity	Standard / Expected Result	Trigger	Frequency	Due Rule	Doer	Checker	Accountable Owner	Priority	Evidence Type	Evidence Required	Dependency / Gate	Automation Rule	Failure Definition	Escalation L1	Escalation L2	Escalation L3	KPI	CAPA Requirement
APT-006	Appointments & Reception	Appointment Management	Daily Schedule	No-show handling	No-show recorded and follow-up workflow initiated	DEADLINE	PER_APPOINTMENT	After grace period	Reception	Reception Lead	Clinic Manager	IMPORTANT	SYSTEM	Status/contact log	Scheduled appointment	No-show workflow	No-show not actioned	Reception	Lead	Manager	No-Show Recovery %	NONE
CLN-001	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Update medical history	Medical history current before applicable treatment	EVENT	PER_VISIT	Before treatment	Doctor/Assistant	Treating Doctor	Clinical Director	PATIENT_SAFETY	VERIFICATION	Current history	Patient visit	Readiness gate	History not current	Doctor	Clinical Director	Clinic Head	Medical History Compliance %	REQUIRED_ON_CRITICAL
CLN-002	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Verify procedure consent	Valid procedure-specific consent signed	DEPENDENCY	PER_PROCEDURE	Before procedure	Doctor/Assistant	Treating Doctor	Clinical Director	PATIENT_SAFETY	SIGNATURE	Signed consent	Procedure requires consent	Consent gate	Consent absent	Doctor	Clinical Director	Clinic Head	Consent Compliance %	REQUIRED_ON_CRITICAL
CLN-003	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Pre-treatment scan/photo	Required baseline scan/photo documented	EVENT	PER_PROCEDURE	Before procedure	Assistant/Doctor	Treating Doctor	Clinical Director	CRITICAL	ATTACHMENT	Image/scan	Procedure protocol	Documentation gate	Required baseline missing	Doer	Doctor	Clinical Director	Pre-Treatment Documentation %	REQUIRED_ON_REPEAT
CLN-004	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Verify radiograph requirement	Required radiograph available/current	DEPENDENCY	PER_PROCEDURE	Before procedure	Doctor	Clinical Director	Clinical Director	PATIENT_SAFETY	VERIFICATION	Radiograph reference	Procedure protocol	Readiness gate	Required radiograph missing	Doctor	Clinical Director	Clinic Head	Radiograph Compliance %	REQUIRED_ON_CRITICAL
CLN-005	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Chairside setup	Procedure-specific instruments/materials ready	EVENT	PER_PATIENT	Before seating/procedure	Dental Assistant	Doctor	Clinic Manager	CRITICAL	CONFIRMATION	Setup checklist	Procedure plan	Generate setup task	Required item missing	Assistant	Doctor	Manager	Chairside Readiness %	REQUIRED_ON_REPEAT
CLN-006	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Pre-op medication reminder	Surgical patient reminded per prescribed plan	TIME	PER_SURGERY	Protocol-defined	Reception/Assistant	Treating Doctor	Clinical Director	CRITICAL	SYSTEM	Contact acknowledgement	Surgery scheduled	Reminder automation	Reminder not completed	Reception	Doctor	Clinical Director	Pre-op Reminder Compliance %	REQUIRED_ON_REPEAT
CLN-007	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Pre-op meal/instruction reminder	Surgical patient receives clinic-approved pre-op instructions	TIME	PER_SURGERY	Protocol-defined	Reception/Assistant	Treating Doctor	Clinical Director	CRITICAL	SYSTEM	Acknowledgement	Surgery scheduled	Reminder automation	Instruction not acknowledged	Reception	Doctor	Clinical Director	Pre-op Instruction Compliance %	REQUIRED_ON_REPEAT
CLN-008	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Procedure readiness evaluation	All mandatory configured requirements evaluated	DEPENDENCY	PER_PROCEDURE	Before start	System	Treating Doctor	Clinical Director	PATIENT_SAFETY	SYSTEM	Readiness result	All readiness inputs	Evaluate gate	NOT_READY	Treating Doctor	Clinical Director	Clinic Head	Procedure Readiness %	REQUIRED_ON_CRITICAL
CLN-009	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Post-treatment scan/photo	Required post-treatment record captured	EVENT	PER_PROCEDURE	Before visit closure	Assistant/Doctor	Treating Doctor	Clinical Director	CRITICAL	ATTACHMENT	Image/scan	Procedure protocol	Documentation task	Required post record missing	Doer	Doctor	Clinical Director	Post-Treatment Documentation %	REQUIRED_ON_REPEAT
CLN-010	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Post-op instructions	Applicable patient receives documented instructions	EVENT	PER_PROCEDURE	Before discharge	Doctor/Assistant	Treating Doctor	Clinical Director	CRITICAL	CONFIRMATION	Instruction acknowledgement	Procedure completed	Discharge gate	Instructions not documented	Doer	Doctor	Clinical Director	Post-op Instruction Compliance %	REQUIRED_ON_REPEAT
CLN-011	Patient Care & Clinical	Clinical Readiness	Pre-Treatment	Clinical notes completion	Required clinical note completed	DEADLINE	PER_VISIT	Before/within configured SLA	Treating Doctor	Clinical Director	Clinical Director	CRITICAL	SYSTEM	Completed note	Visit	Documentation exception	Note incomplete	Doctor	Clinical Director	Clinic Head	Clinical Note Completion %	REQUIRED_ON_REPEAT
FUP-001	Patient Follow-up	Follow-up	Post-Treatment	Generate surgical follow-up	Protocol follow-up auto-created after surgery	STATUS_CHANGE	PER_SURGERY	At completion	System	Reception Lead	Clinic Manager	CRITICAL	SYSTEM	Generated task	Surgery completed	Auto-create follow-up	Follow-up not generated	Reception Lead	Manager	Clinic Head	Follow-up Generation %	REQUIRED_ON_REPEAT
FUP-002	Patient Follow-up	Follow-up	Post-Treatment	Day-after surgery call	Surgery patient contacted next day	TIME	PER_SURGERY	+1 day	Reception/Assistant	Treating Doctor	Clinical Director	CRITICAL	SYSTEM	Outcome/questionnaire	Follow-up due	Reminder/escalation	Call overdue	Doer	Doctor	Clinical Director	Surgery Follow-up Compliance %	REQUIRED_ON_REPEAT
FUP-003	Patient Follow-up	Follow-up	Post-Treatment	Escalate red flags	Configured symptoms routed to qualified clinician	EVENT	PER_FOLLOWUP	Immediate	System	Treating Doctor	Clinical Director	PATIENT_SAFETY	SYSTEM	Alert acknowledgement	Red-flag response	Clinical alert	Alert unacknowledged	Treating Doctor	Clinical Director	Clinic Head	Clinical Alert Response Time	REQUIRED_ON_CRITICAL
FUP-004	Patient Follow-up	Follow-up	Post-Treatment	Treatment progress follow-up	Protocol review/follow-up completed	TIME	PER_PROTOCOL	Protocol-defined	Reception/Doctor	Treating Doctor	Clinical Director	IMPORTANT	SYSTEM	Outcome	Procedure protocol	Generate due task	Follow-up overdue	Doer	Doctor	Manager	Follow-up Compliance %	REQUIRED_ON_REPEAT
FUP-005	Patient Follow-up	Follow-up	Post-Treatment	Google review request	Eligible completed patient asked for review	STATUS_CHANGE	PER_TREATMENT	After completion	Reception	Reception Lead	Clinic Manager	ROUTINE	SYSTEM	Request sent	Treatment completed/eligibility	Generate request	Eligible request missed	Reception	Lead	Manager	Review Request %	NONE
LAB-001	Laboratory Management	Lab Case	Tracking & QC	Create lab case	All sent work has complete digital lab record	EVENT	PER_CASE	Before dispatch	Lab Coordinator/Assistant	Doctor	Clinic Manager	CRITICAL	SYSTEM	Case record	Lab work prescribed	Case workflow	Incomplete case record	Coordinator	Doctor	Manager	Lab Record Completeness %	REQUIRED_ON_REPEAT
LAB-002	Laboratory Management	Lab Case	Tracking & QC	Dispatch lab case	Dispatch date/materials recorded	EVENT	PER_CASE	At dispatch	Lab Coordinator	Doctor	Clinic Manager	IMPORTANT	SYSTEM	Dispatch record	Case created	Status transition	Unrecorded dispatch	Coordinator	Doctor	Manager	Lab Dispatch Compliance %	NONE
LAB-003	Laboratory Management	Lab Case	Tracking & QC	Monitor expected return	Cases tracked against due date	DEADLINE	DAILY	Before due date	Lab Coordinator	Clinic Manager	Clinic Manager	IMPORTANT	SYSTEM	Status	Expected return date	Due/overdue alerts	Case overdue	Coordinator	Manager	Clinic Head	On-Time Lab %	REQUIRED_ON_REPEAT
LAB-004	Laboratory Management	Lab Case	Tracking & QC	Receive and cross-check case	Received work matched to case/patient/specification	EVENT	PER_CASE	At receipt	Lab Coordinator	Doctor	Clinic Manager	CRITICAL	VERIFICATION	Receipt/check	Lab received	Generate QC	Mismatch/missing item	Coordinator	Doctor	Manager	Lab Receipt Accuracy %	REQUIRED_ON_REPEAT
LAB-005	Laboratory Management	Lab Case	Tracking & QC	Doctor QC	Clinical/lab QC completed before patient-ready	STATUS_CHANGE	PER_CASE	After receipt	Doctor	Clinical Lead	Clinical Director	CRITICAL	VERIFICATION	QC result	Case received	QC gate	QC pending/failed	Lab Coordinator	Clinical Lead	Clinic Head	Lab QC Pass %	REQUIRED_ON_REPEAT
LAB-006	Laboratory Management	Lab Case	Tracking & QC	Schedule after readiness	Patient delivery appointment only after configured lab readiness	DEPENDENCY	PER_CASE	After QC pass	Reception	Lab Coordinator	Clinic Manager	CRITICAL	SYSTEM	Appointment link	QC passed	Scheduling gate	Appointment created too early	Reception	Manager	Clinic Head	Lab-Ready Scheduling Compliance %	REQUIRED_ON_REPEAT
LAB-007	Laboratory Management	Lab Case	Tracking & QC	Manage remake/correction	Failed QC creates correction/remake workflow	EVENT	PER_CASE	Immediate	Lab Coordinator	Doctor	Clinical Director	CRITICAL	SYSTEM	Reason/action	QC failed	Create correction/remake	Failure unresolved	Coordinator	Doctor	Clinical Director	Lab Remake %	REQUIRED_ON_REPEAT
STER-001	Infection Control	Sterilization	Instrument Cycle	Collect used instruments	Used instruments moved into dirty workflow safely	EVENT	PER_BATCH	After use	Dental Assistant	Senior Assistant	Clinical Director	PATIENT_SAFETY	CONFIRMATION	Batch record	Instrument use	Create batch	Used instruments untracked	Assistant	Senior Assistant	Clinical Director	Instrument Traceability %	REQUIRED_ON_CRITICAL
STER-002	Infection Control	Sterilization	Instrument Cycle	Ultrasonic cleaning	Required instruments ultrasonically cleaned same day	EVENT	PER_BATCH	Same day	Dental Assistant	Senior Assistant	Clinical Director	PATIENT_SAFETY	SYSTEM	Stage timestamp	Batch collected	Stage workflow	Cleaning not completed	Assistant	Senior Assistant	Clinic Head	Same-Day Processing %	REQUIRED_ON_CRITICAL
STER-003	Infection Control	Sterilization	Instrument Cycle	Inspect/dry/pack	Instruments inspected and properly sealed/packed	STATUS_CHANGE	PER_BATCH	After cleaning	Dental Assistant	Senior Assistant	Clinical Director	PATIENT_SAFETY	VERIFICATION	Pack record	Cleaning complete	Stage gate	Improper/unsealed pack	Assistant	Senior Assistant	Clinical Director	Packing Compliance %	REQUIRED_ON_CRITICAL
STER-004	Infection Control	Sterilization	Instrument Cycle	Autoclave cycle	Cycle parameters/result recorded	STATUS_CHANGE	PER_BATCH	Same day	Dental Assistant	Senior Assistant	Clinical Director	PATIENT_SAFETY	VALUE	Cycle result	Packing complete	Cycle gate	Cycle failed	Assistant	Senior Assistant	Clinic Head	Autoclave Pass %	REQUIRED_ON_CRITICAL
STER-005	Infection Control	Sterilization	Instrument Cycle	Release sterile packs	Only passed verified batches released	DEPENDENCY	PER_BATCH	After pass	Senior Assistant	Doctor/Manager	Clinical Director	PATIENT_SAFETY	VERIFICATION	Release record	Cycle PASS	Release gate	Release without valid pass	Senior Assistant	Clinical Director	Clinic Head	Sterile Release Compliance %	REQUIRED_ON_CRITICAL
STER-006	Infection Control	Sterilization	Instrument Cycle	Closing pending instrument check	No used instruments remain unprocessed at closing	TIME	DAILY	Closing	Senior Assistant	Clinic Manager	Clinical Director	PATIENT_SAFETY	SYSTEM	Pending count	End of day	Critical exception	Pending used instruments	Senior Assistant	Manager	Clinic Head	Same-Day Sterilization %	REQUIRED_ON_CRITICAL
STER-007	Infection Control	Sterilization	Instrument Cycle	Biomedical waste disposal	Waste segregated/disposed on schedule	TIME	DAILY	Configured	Assigned Assistant/Housekeeping	Clinic Manager	Clinic Head	CRITICAL	CONFIRMATION	Waste checklist		Generate task	Waste not disposed/segregated	Doer	Manager	Clinic Head	BMW Compliance %	REQUIRED_ON_REPEAT
INV-001	Inventory & Procurement	Inventory	Stock Control	Daily critical consumable check	Critical room consumables available	TIME	DAILY	Opening	Dental Assistant	Inventory Coordinator	Clinic Manager	CRITICAL	CONFIRMATION	Checklist	Room readiness	Low-stock alert	Critical consumable missing	Assistant	Inventory	Manager	Critical Consumable Availability %	REQUIRED_ON_REPEAT
INV-002	Inventory & Procurement	Inventory	Stock Control	Record stock receipt	All received stock entered by batch/expiry where applicable	EVENT	PER_RECEIPT	At receipt	Inventory Coordinator	Clinic Manager	Clinic Manager	IMPORTANT	SYSTEM	GRN/receipt	PO/receipt	Update stock	Receipt not recorded	Inventory	Manager	Clinic Head	Receipt Accuracy %	NONE
INV-003	Inventory & Procurement	Inventory	Stock Control	Record stock issue	Material issues recorded through controlled transaction	EVENT	AS_USED	At issue	Authorized Staff	Inventory Coordinator	Clinic Manager	IMPORTANT	SYSTEM	Stock transaction	Available stock	Update stock	Unrecorded/negative stock	User	Inventory	Manager	Stock Transaction Accuracy %	REQUIRED_ON_REPEAT
INV-004	Inventory & Procurement	Inventory	Stock Control	Low-stock reorder	Reorder action generated at configured threshold	THRESHOLD	CONTINUOUS	Immediate	System/Inventory Coordinator	Clinic Manager	Clinic Manager	IMPORTANT	SYSTEM	Alert/PR	Stock <= reorder	Create PR/alert	Threshold without action	Inventory	Manager	Clinic Head	Stock-Out Rate	REQUIRED_ON_REPEAT
INV-005	Inventory & Procurement	Inventory	Stock Control	Expiry monitoring	Near-expiry batches surfaced and FEFO applied	TIME	DAILY	Configured horizon	System/Inventory Coordinator	Clinic Manager	Clinic Manager	CRITICAL	SYSTEM	Expiry report	Batch expiry	Expiry alerts	Expired stock treated usable	Inventory	Manager	Clinic Head	Expiry/Wastage %	REQUIRED_ON_REPEAT
INV-006	Inventory & Procurement	Inventory	Stock Control	Purchase request approval	PR approved/rejected per authority matrix	EVENT	PER_PR	Within SLA	Approver	Clinic Head	Owner/Clinic Head	IMPORTANT	VERIFICATION	Approval record	PR submitted	Approval workflow	PR overdue	Approver	Clinic Head	Owner	PR Approval SLA %	NONE
INV-007	Inventory & Procurement	Inventory	Stock Control	Goods receipt reconciliation	Received quantities matched to PO/PR	EVENT	PER_RECEIPT	At receipt	Inventory Coordinator	Clinic Manager	Clinic Head	IMPORTANT	VERIFICATION	GRN	PO exists	Reconcile variance	Quantity/price mismatch	Inventory	Manager	Clinic Head	GRN Accuracy %	REQUIRED_ON_REPEAT
INV-008	Inventory & Procurement	Inventory	Stock Control	Wastage/adjustment control	All wastage/adjustments have reason and authorization	EVENT	AS_REQUIRED	At event	Authorized Staff	Clinic Manager	Clinic Head	IMPORTANT	VERIFICATION	Reason/approval	Stock transaction	Audit alert	Unexplained adjustment	User	Manager	Clinic Head	Inventory Variance %	REQUIRED_ON_REPEAT
IMP-001	Implant Inventory	Implant Control	Readiness & Traceability	Maintain implant SKU master	Manufacturer/system/platform/dimensions/components current	MANUAL	AS_REQUIRED	Before use	Implant Coordinator	Clinical Director	Clinical Director	CRITICAL	VERIFICATION	Master record		Master validation	Missing/invalid SKU data	Coordinator	Clinical Director	Clinic Head	Implant Master Completeness %	NONE
IMP-002	Implant Inventory	Implant Control	Readiness & Traceability	Upcoming surgery requirements	Planned implant/components captured per case	EVENT	PER_SURGERY	Before surgery	Treating Doctor	Implant Coordinator	Clinical Director	PATIENT_SAFETY	VERIFICATION	Case requirement	Surgery scheduled	Generate readiness	Requirements incomplete	Doctor	Clinical Director	Clinic Head	Implant Planning Completeness %	REQUIRED_ON_CRITICAL
IMP-003	Implant Inventory	Implant Control	Readiness & Traceability	Implant stock readiness	Required implant/components compared to usable stock	DEPENDENCY	PER_SURGERY	Configured lead time	System/Implant Coordinator	Treating Doctor	Clinical Director	PATIENT_SAFETY	SYSTEM	Readiness result	Case requirements	Shortage alert	Missing required stock	Coordinator	Doctor	Clinic Head	Implant Readiness %	REQUIRED_ON_CRITICAL
IMP-004	Implant Inventory	Implant Control	Readiness & Traceability	Implant lot/expiry verification	Selected implant batch valid and not expired	DEPENDENCY	PER_IMPLANT	Before use	Assistant/Doctor	Treating Doctor	Clinical Director	PATIENT_SAFETY	VERIFICATION	Batch/expiry	Implant selected	Use gate	Expired/invalid batch	Doctor	Clinical Director	Clinic Head	Valid Implant Batch %	REQUIRED_ON_CRITICAL
IMP-005	Implant Inventory	Implant Control	Readiness & Traceability	Record implant usage	Patient/site/SKU/lot/dimensions/doctor permanently linked	EVENT	PER_IMPLANT	At placement	Treating Doctor/Assistant	Treating Doctor	Clinical Director	PATIENT_SAFETY	SYSTEM	Usage record	Procedure	Decrement stock	Traceability incomplete	Doctor	Clinical Director	Clinic Head	Implant Traceability %	REQUIRED_ON_CRITICAL
IMP-006	Implant Inventory	Implant Control	Readiness & Traceability	Implant stock reconciliation	Physical vs system implant stock reconciled	TIME	WEEKLY	Week end	Implant Coordinator	Clinic Manager	Clinical Director	CRITICAL	VERIFICATION	Count/reconciliation		Variance exception	Unexplained variance	Coordinator	Manager	Clinic Head	Implant Inventory Accuracy %	REQUIRED_ON_REPEAT
EQP-001	Equipment Preventive Maintenance	Equipment	Asset Control	Daily functional check	Critical assets checked before clinical use	TIME	DAILY	Opening	Assigned Assistant	Clinic Manager	Clinic Manager	PATIENT_SAFETY	CONFIRMATION	Pass/fail	Asset active	Failure workflow	Functional check failed	Asset Owner	Manager	Clinic Head	Equipment Availability %	REQUIRED_ON_CRITICAL
EQP-002	Equipment Preventive Maintenance	Equipment	Asset Control	Preventive maintenance scheduling	PM task generated before due date	TIME	PER_PLAN	Lead-time configured	System	Equipment Owner	Clinic Manager	CRITICAL	SYSTEM	PM task	Maintenance plan	Generate task	PM not generated	Owner	Manager	Clinic Head	PM Compliance %	REQUIRED_ON_REPEAT
EQP-003	Equipment Preventive Maintenance	Equipment	Asset Control	Complete preventive maintenance	PM completed with service evidence	DEADLINE	PER_PLAN	By due date	Equipment Owner/Vendor	Clinic Manager	Clinic Head	CRITICAL	ATTACHMENT	Service record	PM due	Overdue exception	PM overdue	Owner	Manager	Clinic Head	PM Compliance %	REQUIRED_ON_REPEAT
EQP-004	Equipment Preventive Maintenance	Equipment	Asset Control	Calibration control	Calibration completed before expiry where required	TIME	PER_PLAN	Before due	Equipment Owner	Clinic Manager	Clinical Director	PATIENT_SAFETY	ATTACHMENT	Calibration certificate	Calibration plan	Restrict if overdue	Calibration overdue	Owner	Manager	Clinic Head	Calibration Compliance %	REQUIRED_ON_CRITICAL
EQP-005	Equipment Preventive Maintenance	Equipment	Asset Control	Breakdown reporting	Failure creates breakdown ticket and asset restriction	EVENT	PER_FAILURE	Immediate	Any Authorized User	Clinic Manager	Clinic Head	PATIENT_SAFETY	SYSTEM	Breakdown record	Functional failure	Restrict asset/notify	Failure not ticketed	Reporter	Manager	Clinic Head	Breakdown Reporting Time	REQUIRED_ON_CRITICAL
EQP-006	Equipment Preventive Maintenance	Equipment	Asset Control	Return to service	Repaired asset independently verified before availability	DEPENDENCY	PER_BREAKDOWN	After repair	Equipment Owner/Vendor	Clinic Manager/Qualified Verifier	Clinic Head	PATIENT_SAFETY	VERIFICATION	Return-to-service record	Repair complete	Restore availability	Unverified asset used	Owner	Verifier	Clinic Head	Verified Return-to-Service %	REQUIRED_ON_CRITICAL
EQP-007	Equipment Preventive Maintenance	Equipment	Asset Control	AMC/warranty monitoring	Upcoming expiry surfaced	TIME	MONTHLY	Configured lead time	System/Manager	Clinic Head	Owner	IMPORTANT	SYSTEM	Alert	Asset master	Expiry reminder	Coverage expires unnoticed	Manager	Clinic Head	Owner	AMC/Warranty Coverage %	NONE
EMR-001	Emergency Management	Emergency	Readiness & Response	Daily emergency quick check	Critical emergency equipment/items ready	TIME	DAILY	Opening	Assigned Assistant	Doctor/Manager	Clinical Director	PATIENT_SAFETY	VERIFICATION	Pass/fail	Emergency master	Critical exception	Readiness failed	Assistant	Clinical Director	Clinic Head	Emergency Readiness %	REQUIRED_ON_CRITICAL
EMR-002	Emergency Management	Emergency	Readiness & Response	Monthly full emergency audit	Complete emergency inventory/function/expiry audit	TIME	MONTHLY	Scheduled	Clinic Manager	Clinical Director	Clinic Head	PATIENT_SAFETY	VERIFICATION	Audit	Emergency master	Findings/CAPA	Major/critical gap	Manager	Clinical Director	Owner	Emergency Audit Score	REQUIRED_ON_CRITICAL
EMR-003	Emergency Management	Emergency	Readiness & Response	Emergency event documentation	Every medical emergency creates incident record	EVENT	PER_EVENT	Immediate/after stabilization	Treating Team	Clinical Director	Clinic Head	PATIENT_SAFETY	SYSTEM	Incident record	Emergency event	Incident workflow	Event undocumented	Clinical Director	Clinic Head	Owner	Emergency Incident Documentation %	REQUIRED_ON_CRITICAL
EMR-004	Emergency Management	Emergency	Readiness & Response	Emergency drill	Team drill completed per schedule	TIME	QUARTERLY	Scheduled	Clinic Manager	Clinical Director	Clinic Head	CRITICAL	ATTACHMENT	Drill record		Training/competency update	Drill overdue/failed	Manager	Clinical Director	Owner	Emergency Drill Compliance %	REQUIRED_ON_REPEAT
TRN-001	Staff Training & Competency	People	Training & Competency	Role competency assignment	Each role has required competency profile	MANUAL	ON_ROLE_CHANGE	At assignment	Manager	Clinical Director	Clinic Head	CRITICAL	SYSTEM	Role competency map	Role assigned	Gap analysis	Required competency undefined	Manager	Clinical Director	Clinic Head	Role Competency Coverage %	NONE
TRN-002	Staff Training & Competency	People	Training & Competency	Training assignment	Competency gap generates training/reassessment	EVENT	AS_REQUIRED	On gap detection	System/Manager	Trainer	Clinic Head	IMPORTANT	SYSTEM	Training task	Gap detected	Generate training	Gap unaddressed	Manager	Trainer	Clinic Head	Training Completion %	REQUIRED_ON_REPEAT
TRN-003	Staff Training & Competency	People	Training & Competency	Competency assessment	Skill assessed and level recorded with validity	EVENT	PER_ASSESSMENT	Before independent work	Qualified Assessor	Clinical Director/Manager	Clinic Head	CRITICAL	VERIFICATION	Assessment evidence	Training complete	Update competency	Assessment missing	Assessor	Manager	Clinic Head	Competency Coverage %	REQUIRED_ON_REPEAT
TRN-004	Staff Training & Competency	People	Training & Competency	Restricted work gate	Independent assignment requires minimum competency	DEPENDENCY	PER_ASSIGNMENT	At assignment	System	Manager	Clinical Director	PATIENT_SAFETY	SYSTEM	Gate result	Role competency	Block/require supervision	Underqualified assignment	Manager	Clinical Director	Clinic Head	Competency Gate Compliance %	REQUIRED_ON_CRITICAL
TRN-005	Staff Training & Competency	People	Training & Competency	Competency expiry monitoring	Expiring credentials generate reassessment alert	TIME	DAILY	Lead-time configured	System	Manager	Clinic Head	IMPORTANT	SYSTEM	Alert	Validity date	Generate reassessment	Competency expires	Employee	Manager	Clinic Head	Current Competency %	REQUIRED_ON_REPEAT
CON-001	Professional Conduct	People	Conduct	Record conduct incident	Material conduct issue recorded factually and confidentially	EVENT	AS_REQUIRED	Promptly	Manager	Clinic Head	Owner/Clinic Head	IMPORTANT	ATTACHMENT	Incident record		Review workflow	Material issue not addressed	Manager	Clinic Head	Owner	Conduct Incident Closure %	REQUIRED_ON_REPEAT
